,count,mean,std,min,25%,50%,75%,max
file_size_bytes,6.0,4343402.5,427682.4317559701,3643450.0,4220093.5,4372649.0,4519353.75,4934170.0
width_px,6.0,5712.0,0.0,5712.0,5712.0,5712.0,5712.0,5712.0
height_px,6.0,4284.0,0.0,4284.0,4284.0,4284.0,4284.0,4284.0
megapixels,6.0,24.470208,0.0,24.470208,24.470208,24.470208,24.470208,24.470208
aspect_ratio,6.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
brightness_mean,6.0,120.06435648600261,7.432376607268181,109.5125732421875,114.99442672729492,122.92364883422852,123.6008415222168,128.8483428955078
contrast_std,6.0,56.72773297627767,7.628776711569084,44.8343391418457,53.63388156890869,56.262393951416016,62.96317195892334,65.05279541015625
sharpness_laplacian_var,6.0,159.28722381591797,53.38391016695515,75.05531311035156,134.99145126342773,161.43600463867188,203.56086349487305,214.01693725585935
noise_sigma_est,6.0,3.2291021175021624,0.5983318920892428,2.965159377316531,2.965159377316531,2.9651819996872684,3.041012186399648,4.447648576491846
r_mean,6.0,130.90494813802425,9.317601950363219,115.70657895511144,128.38146076445284,130.56005341270495,136.03339088903533,143.08990311811
g_mean,6.0,117.88315255977118,7.456308495501296,108.3038172785454,111.75853827029178,121.095215005937,121.96794700314767,125.89949770757976
b_mean,6.0,109.7497803791996,6.313095158164038,102.21011545958252,104.30791941981042,110.30136002521925,115.37091211075933,116.31497807456316
r_std,6.0,59.546588403747855,9.52165142582162,45.90609749733296,53.15503254877174,61.09224677249843,66.3400212630444,70.59036547940144
g_std,6.0,56.61297080913611,7.477712670920086,44.8626552155995,54.19580995377717,55.65680990027569,62.57011805741045,64.91818575726613
b_std,6.0,55.22124894931037,6.399514321144709,44.757000141890806,52.814827473077315,55.48830697074111,59.74170659331039,62.510705504466394
r_entropy,6.0,7.673247280702437,0.25335925064639075,7.2031236696252865,7.639367386370377,7.732741859103495,7.816003492912657,7.918876363407296
g_entropy,6.0,7.605505923154465,0.2006500472579831,7.270599456517683,7.542132107547561,7.613334567344617,7.73915714062439,7.836270995053693
b_entropy,6.0,7.563880981530058,0.18817606410528948,7.304606040731562,7.432468915303511,7.5851426815887875,7.702529390681342,7.785158531683932
